date	gold	platinum	palladium	silver50
20120908	1745.66	1625.23	663.89	1691.50
20120911	1767.21	1627.74	674.15	1643.00
20120912	1768.47	1630.55	682.46	1716.50
20120913	1763.73	1655.70	686.16	1696.00
20120914	1746.95	1662.66	684.45	1712.50
20120915	1756.24	1678.46	685.65	1635.00
20120918	1737.89	1666.84	675.59	1706.50
20120919	1744.10	1645.07	671.13	1714.00
20120920	1760.80	1627.34	668.80	1690.00
20120921	1786.73	1636.48	673.07	1759.00
20120922	1777.35	1638.32	676.37	1716.00
20120925	1766.86	1615.64	653.09	1742.50
20120926	1770.00	1621.98	647.19	1689.50
20120927	1770.48	1633.20	635.41	1707.00
20120928	1760.42	1639.82	631.86	1699.00
20120929	1770.32	1651.04	634.17	1687.50
20121002	1779.06	1666.01	640.08	1741.00
20121003	1780.30	1676.70	645.65	1719.00
20121004	1782.44	1678.89	649.89	1747.50
20121005	1787.51	1698.96	662.37	1737.00
20121006	1782.57	1706.89	665.23	1740.50
20121009	1767.53	1677.61	651.46	1741.00
20121010	1770.52	1699.78	659.91	1692.50
20121011	1768.57	1682.29	656.06	1699.00
20121012	1770.84	1679.41	653.32	1693.00
20121013	1759.63	1670.01	646.29	1705.50
20121016	1745.88	1641.71	637.50	1688.00
20121017	1728.89	1632.86	633.84	1653.00
20121018	1730.49	1635.69	635.66	1624.00
20121019	1726.42	1645.43	644.94	1631.00
20121020	1714.86	1617.13	630.42	1632.50
20121023	1714.18	1608.84	624.06	1606.50
20121024	1717.75	1588.69	613.27	1609.00
20121025	1719.51	1579.11	602.86	1595.50
20121026	1723.07	1589.45	608.85	1605.00
20121027	1724.52	1569.67	604.19	1623.50
20121030	1730.37	1561.58	601.39	1600.50
20121031	1736.73	1568.99	602.05	1612.50
20121101	1732.96	1579.63	615.31	1613.00
20121102	1737.83	1586.31	620.20	1627.50
20121103	1723.53	1568.91	613.44	1647.50
20121107	1714.38	1568.70	621.20	1566.00
20121108	1741.62	1573.04	622.98	1580.00
20121109	1737.67	1561.37	617.05	1628.00
20121110	1754.63	1584.76	623.78	1605.00
20121113	1763.75	1592.28	618.83	1634.00
20121114	1758.74	1609.09	625.08	1663.50
20121115	1759.05	1625.94	655.88	1661.50
20121116	1756.10	1603.78	647.01	1654.50
20121117	1743.81	1588.80	636.34	1660.50
20121120	1754.51	1589.32	640.41	1643.00
20121121	1752.00	1590.34	647.65	1650.50
20121122	1744.42	1587.08	643.52	1676.50
20121123	1732.48	1583.49	650.02	1653.00
20121124	1736.37	1582.47	654.61	1666.00
20121127	1742.56	1600.70	657.23	1666.00
20121128	1738.12	1610.54	665.50	1695.00
20121129	1743.09	1605.92	659.79	1704.50
20121130	1721.89	1613.56	676.98	1690.00
20121201	1712.00	1601.79	681.53	1672.00
20121204	1703.25	1585.27	676.15	1699.50
20121205	1700.74	1588.39	679.60	1665.00
20121206	1687.67	1577.67	677.84	1650.00
20121207	1682.51	1570.21	678.77	1643.50
20121208	1689.55	1586.01	686.97	1634.50
20121211	1695.60	1605.78	694.71	1630.00
20121212	1690.35	1600.63	690.08	1648.00
20121213	1692.05	1620.42	687.69	1638.50
20121214	1667.50	1591.98	674.97	1628.50
20121215	1673.90	1591.51	684.76	1612.50
20121218	1671.86	1584.80	688.53	1608.50
20121219	1693.07	1603.91	697.35	1604.50
20121220	1656.04	1579.39	681.40	1601.00
20121221	1648.55	1570.42	684.34	1551.00
20121222	1627.90	1530.86	666.66	1537.00
20121225	1646.52	1528.17	676.44	1480.00
20121226	1635.19	1517.65	671.78	1484.50
20121227	1636.39	1518.77	672.27	1486.00
20121228	1622.11	1507.21	681.09	1479.50
20121229	1619.78	1494.05	689.41	1452.50
20121230	1618.56	1491.12	687.46	1472.00
20130110	1627.02	1555.14	668.02	1486.00
20130111	1623.51	1574.70	683.38	1483.50
20130112	1623.89	1581.57	676.01	1483.00
20130115	1622.56	1595.56	682.01	1492.00
20130116	1635.17	1650.74	695.51	1496.00
20130117	1638.51	1619.25	689.64	1521.00
20130118	1642.10	1645.76	702.40	1523.50
20130119	1641.26	1644.18	704.09	1529.50
20130122	1644.23	1627.67	695.97	1549.50
20130123	1643.06	1636.75	696.06	1548.50
20130124	1644.68	1646.38	704.62	1552.00
20130125	1626.39	1636.09	698.27	1563.00
20130126	1613.41	1630.56	701.30	1538.50
20130129	1602.14	1633.32	718.51	1526.00
20130130	1609.67	1620.81	717.35	1496.00
20130131	1608.62	1627.69	727.92	1499.50
20130201	1615.96	1621.27	716.06	1512.50
20130202	1605.75	1612.50	718.49	1544.50
20130205	1601.20	1632.71	727.36	1512.00
20130206	1625.11	1644.48	730.23	1526.00
20130207	1608.59	1666.39	738.80	1541.50
20130208	1618.97	1671.38	734.25	1531.50
20130209	1618.97	1662.84	724.28	1539.00
20130212	1612.99	1660.01	730.62	1528.00
20130213	1592.55	1641.29	732.37	1511.50
20130214	1593.20	1663.77	747.30	1490.50
20130215	1589.76	1669.05	741.69	1500.50
20130216	1577.41	1639.13	736.79	1495.00
20130219	1560.60	1633.00	730.30	1461.50
20130220	1562.88	1641.82	741.97	1453.00
20130221	1547.75	1622.14	736.20	1449.00
20130222	1524.64	1563.03	695.01	1415.00
20130223	1542.21	1579.30	720.35	1401.50
20130226	1553.24	1586.89	728.59	1404.00
20130227	1570.82	1565.66	716.94	1434.50
20130228	1583.51	1586.95	727.52	1415.00
20130301	1560.76	1565.67	726.92	1426.00
20130302	1546.51	1541.58	708.24	1426.00
20130305	1561.94	1559.96	711.68	1386.00
20130306	1563.51	1560.30	714.52	1415.50
20130307	1549.60	1569.29	727.55	1424.00
20130308	1563.19	1580.50	738.82	1421.50
20130312	1559.96	1580.23	761.44	1423.00
20130313	1564.51	1575.88	763.22	1428.50
20130314	1571.92	1571.43	759.54	1444.50
20130315	1568.36	1568.36	754.99	1440.50
20130316	1573.59	1571.36	763.46	1414.50
20130319	1588.56	1565.22	758.28	1435.50
20130320	1588.33	1561.07	749.32	1427.50
20130321	1603.27	1552.03	737.21	1435.00
20130322	1597.83	1571.26	753.85	1435.00
20130323	1602.64	1573.30	750.85	1437.50
20130326	1584.48	1562.47	752.56	1437.00
20130327	1585.43	1558.39	749.41	1423.00
20130328	1578.70	1560.84	752.14	1430.50
20130329	1596.97	1577.54	761.36	1411.50
20130330	1597.22	1574.98	769.50	1431.00
20130402	1598.55	1576.29	770.14	1432.50
20130403	1598.48	1592.73	774.36	1432.50
20130404	1583.04	1575.47	768.05	1411.00
20130405	1575.89	1555.24	762.83	1386.50
20130406	1578.57	1552.39	740.11	1362.50
20130409	1603.16	1563.26	743.01	1370.50
